,Date,Distance (AUs),Declination,Brightness,% Illuminated,Costellation
2,3.0,0.002611875,-18.13501,6.2,11.844000000000001,  Cap
4,3.0,0.0026432390000000004,-7.2737,6.26,2.124,  Aqr
5,3.0,0.002656665,-1.38042,5.02,0.233,  Psc
7,3.0,0.002677563,9.4522,6.29,2.3819999999999997,  Psc
8,3.0,0.002683632,14.55149,6.36,6.199,  Ari
9,3.0,0.0026855159999999998,19.28333,6.21,11.61,  Ari
11,3.0,0.0026728629999999997,25.592270000000003,5.77,26.351999999999997,  Tau
12,4.0,0.002656941,27.34458,5.55,35.219,  Tau
14,4.0,0.002605787,26.441959999999998,5.12,54.678000000000004,  Gem
15,4.0,0.002572379,24.13306,4.91,64.666,  Cnc
18,4.0,0.002466167,9.28229,4.2,90.699,  Leo
20,4.0,0.002419862,-4.0149,3.6,99.445,  Vir
21,4.0,0.0024118489999999998,-10.50563,3.52,99.779,  Vir
22,4.0,0.002415301,-17.065929999999998,3.85,97.176,  Lib
23,4.0,0.002429593,-22.21145,4.16,91.809,  Lib
24,4.0,0.002452915,-26.07317,4.43,84.11200000000001,  Sco
25,4.0,0.002482674,-28.072309999999998,4.69,74.688,  Sgr
26,4.0,0.002515988,-28.14439,4.93,64.204,  Sgr
30,4.0,0.0026384679999999997,-14.19229,5.87,23.149,  Aqr
32,4.0,0.002676973,-3.07528,6.31,8.804,  Psc
33,4.0,0.00268985,2.37102,6.39,4.062,  Cet
37,4.0,0.0027024270000000003,22.09499,6.37,3.2969999999999997,  Tau
39,4.0,0.002682875,27.09375,6.18,13.338,  Tau
40,4.0,0.002665157,27.50187,5.96,20.533,  Gem
41,4.0,0.0026417579999999997,27.10088,5.72,28.926,  Gem
42,5.0,0.0026128189999999997,25.08439,5.5,38.288000000000004,  Cnc
43,5.0,0.0025790220000000003,21.5013,5.27,48.348,  Cnc
44,5.0,0.0025417070000000003,17.222260000000002,5.05,58.771,  Leo
46,5.0,0.0024654110000000003,5.43091,4.59,78.926,  Leo
47,5.0,0.002432325,-0.5915,4.34,87.52600000000001,  Vir
48,5.0,0.002406933,-7.511880000000001,4.05,94.279,  Vir
49,5.0,0.0023920729999999998,-14.27474,3.74,98.57,  Vir
51,5.0,0.0024000420000000002,-24.52178,3.77,98.285,  Sco
52,5.0,0.002422332,-27.41038,4.08,93.71700000000001,  Oph
53,5.0,0.0024541710000000002,-28.29559,4.37,86.705,  Sgr
55,5.0,0.002533666,-24.32227,4.86,67.88600000000001,  Cap
56,5.0,0.002574735,-20.28027,5.09,57.373000000000005,  Cap
58,5.0,0.002646545,-10.06223,5.54,36.787,  Aqr
60,5.0,0.0026954229999999997,1.18123,6.0,19.229,  Cet
61,5.0,0.00271021,6.53224,6.22,12.243,  Psc
62,5.0,0.002718885,12.10111,6.38,6.71,  Ari
63,5.0,0.002721955,16.58145,6.36,2.775,  Ari
65,5.0,0.0027133340000000004,24.22363,4.42,0.109,  Tau
66,5.0,0.002702378,26.35245,6.17,1.474,  Tau
67,5.0,0.0026872059999999997,27.34586,6.41,4.627,  Gem
69,5.0,0.00264413,25.35248,6.11,15.981,  Gem
71,5.0,0.002584455,18.35125,5.63,33.066,  Leo
72,5.0,0.002549542,13.33066,5.4,43.181999999999995,  Leo
73,6.0,0.002512826,7.44491,5.17,53.9,  Leo
78,6.0,0.0023863120000000002,-23.08184,3.86,97.429,  Lib
